analysis,model_role,multiplicity_family,term,effect_measure,estimate,ci_low,ci_high,p_value,n,converged,aic,country,predictor,eligible_years,fdr_q_value,term_english
Exploratory Chile association: insurance_type,exploratory,chile_insurance_type,C(insurance_type)[T.DIPRECA],Adjusted OR,1.5026395160569397,0.989378957195846,2.2821644818638296,0.0561480639348393,52259,True,28246.68896991428,chile,insurance_type,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.1122961278696787,C(insurance_type)[T.DIPRECA]
Exploratory Chile association: insurance_type,exploratory,chile_insurance_type,C(insurance_type)[T.FONASA],Adjusted OR,1.7032969770201027,1.2273521948909276,2.363804459716346,0.001446560744426,52259,True,28246.68896991428,chile,insurance_type,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.0043396822332781,C(insurance_type)[T.FONASA]
Exploratory Chile association: insurance_type,exploratory,chile_insurance_type,C(insurance_type)[T.ISAPRE],Adjusted OR,0.7658971051501084,0.5401112206649785,1.0860695968417455,0.1344858988251869,52259,True,28246.68896991428,chile,insurance_type,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.2017288482377804,C(insurance_type)[T.ISAPRE]
Exploratory Chile association: insurance_type,exploratory,chile_insurance_type,C(insurance_type)[T.NINGUNA],Adjusted OR,1.9579958739425505,1.365941822111759,2.80666993302031,0.000254799797212,52259,True,28246.68896991428,chile,insurance_type,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.0015287987832722,C(insurance_type)[T.NINGUNA]
Exploratory Chile association: insurance_type,exploratory,chile_insurance_type,C(insurance_type)[T.Other/rare],Adjusted OR,1.2561111734357522,0.8670338309763845,1.819785138318458,0.2279730284518273,52259,True,28246.68896991428,chile,insurance_type,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.2720203228073383,C(insurance_type)[T.Other/rare]
Exploratory Chile association: insurance_type,exploratory,chile_insurance_type,C(insurance_type)[T.SISA],Adjusted OR,1.346571581587017,0.7918437254282552,2.289915252352466,0.2720203228073383,52259,True,28246.68896991428,chile,insurance_type,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.2720203228073383,C(insurance_type)[T.SISA]
Exploratory Chile association: facility_sector,exploratory,chile_facility_sector,"C(facility_sector)[T.Pertenecientes al Sistema Nacional de Servicios de Salud, SNSS]",Adjusted OR,2.8340451587966045,2.5871572560709755,3.1044931432950853,3.8897717888520464e-111,52259,True,27828.40657265078,chile,facility_sector,"2015,2016,2017,2018,2019,2020,2021,2022,2023",3.8897717888520464e-111,"C(facility_sector)[T.Pertenecientes al Sistema Nacional de Servicios de Salud, SNSS]"
Exploratory Chile association: ethnicity,exploratory,chile_ethnicity,C(ethnicity)[T.Si se identifica con alguna etnia],Adjusted OR,0.9599249278425572,0.8047805019771092,1.144977872637064,0.6493010265765357,47277,True,25240.718433968443,chile,ethnicity,"2015,2016,2017,2018,2019,2020,2022,2023",0.6493010265765357,C(ethnicity)[T.Identifies with an ethnic group]
Exploratory Chile association: any_surgical_intervention,exploratory,chile_any_surgical_intervention,C(any_surgical_intervention)[T.1],Adjusted OR,1.4688953954958566,1.322819923094424,1.6311015923177277,6.251597041685128e-13,35870,True,18501.163643819436,chile,any_surgical_intervention,"2015,2016,2017,2018,2019,2020",6.251597041685128e-13,C(any_surgical_intervention)[T.1]
Exploratory Chile association: residence_region,exploratory,chile_residence_region,C(residence_region)[T.De Los Lagos],Adjusted OR,1.5882351739915277,1.3123849059676735,1.9220664276414892,2.0062738160352574e-06,52259,True,28393.34648199929,chile,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",4.514116086079329e-06,C(residence_region)[T.De Los Lagos]
Exploratory Chile association: residence_region,exploratory,chile_residence_region,C(residence_region)[T.De Los Ríos],Adjusted OR,1.4146274013012246,1.125121025958935,1.7786270439721523,0.0029869946777918,52259,True,28393.34648199929,chile,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.0033603690125158,C(residence_region)[T.De Los Ríos]
Exploratory Chile association: residence_region,exploratory,chile_residence_region,C(residence_region)[T.De Valparaíso],Adjusted OR,1.7632165720763646,1.4891636279066498,2.087703877387216,4.695817426273544e-11,52259,True,28393.34648199929,chile,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",4.226235683646189e-10,C(residence_region)[T.De Valparaíso]
Exploratory Chile association: residence_region,exploratory,chile_residence_region,C(residence_region)[T.De Ñuble],Adjusted OR,1.6797813351811322,1.3421409185683442,2.1023614547366347,5.893275242156037e-06,52259,True,28393.34648199929,chile,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",1.0607895435880866e-05,C(residence_region)[T.De Ñuble]
Exploratory Chile association: residence_region,exploratory,chile_residence_region,C(residence_region)[T.Del Bíobío],Adjusted OR,1.3856809244332289,1.1614820528169068,1.6531565164363409,0.0002919526621299,52259,True,28393.34648199929,chile,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.0003753677084527,C(residence_region)[T.Del Bíobío]
Exploratory Chile association: residence_region,exploratory,chile_residence_region,C(residence_region)[T.Del Libertador B. O'Higgins],Adjusted OR,1.2531012239756258,1.021263877130552,1.5375680200705653,0.0306532762805827,52259,True,28393.34648199929,chile,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.0306532762805827,C(residence_region)[T.Del Libertador B. O'Higgins]
Exploratory Chile association: residence_region,exploratory,chile_residence_region,C(residence_region)[T.Del Maule],Adjusted OR,1.4751827932379784,1.2157752641611963,1.789939586381379,8.147686265037154e-05,52259,True,28393.34648199929,chile,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",0.0001222152939755,C(residence_region)[T.Del Maule]
Exploratory Chile association: residence_region,exploratory,chile_residence_region,C(residence_region)[T.Metropolitana de Santiago],Adjusted OR,1.5230214383578795,1.3192293682505631,1.7582949239325465,9.464732891946737e-09,52259,True,28393.34648199929,chile,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",4.259129801376031e-08,C(residence_region)[T.Metropolitana de Santiago]
Exploratory Chile association: residence_region,exploratory,chile_residence_region,C(residence_region)[T.Other/rare],Adjusted OR,1.5200745027901488,1.2888445970259237,1.7927890603449086,6.563123387646609e-07,52259,True,28393.34648199929,chile,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",1.968937016293983e-06,C(residence_region)[T.Other/rare]
