country,analysis,phenotype_specification,effect_measure,estimate,ci_low,ci_high,p_value,n,hospitals,fdr_q_value
brasil,Hospitals with >=4 observed years and >=3 contiguous year-pairs,detailed,OR per 1-SD increase in prior-year log volume,1.2206678747376074,1.1575474989988321,1.2872301669738484,1.8295537432737437e-13,660362,1823,3.3688892972025697e-13
brasil,Hospitals with >=4 observed years and >=3 contiguous year-pairs,broad,OR per 1-SD increase in prior-year log volume,1.2478977798986575,1.1756573043319014,1.3245772074379671,3.3688892972025697e-13,660362,1823,3.3688892972025697e-13
mexico,Hospitals with >=4 observed years and >=3 contiguous year-pairs,detailed,OR per 1-SD increase in prior-year log volume,1.308659532993587,1.1692203282369122,1.4647280174109165,2.873845337281585e-06,161875,764,7.663587566084226e-06
mexico,Hospitals with >=4 observed years and >=3 contiguous year-pairs,broad,OR per 1-SD increase in prior-year log volume,1.3059072107136829,1.165060060061397,1.4637817409208238,4.5693244347320244e-06,161875,764,7.888608149443828e-06
mexico,"Mexico annual-source-only lag/outcome window, 2019-2023",detailed,OR per 1-SD increase in prior-year log volume,1.2651535257806314,1.1175056800814358,1.4323090005936452,0.00020346130514800018,99393,881,0.00022164280850840595
mexico,"Mexico annual-source-only lag/outcome window, 2019-2023",broad,OR per 1-SD increase in prior-year log volume,1.26724635911649,1.1175575516936778,1.4369849071846104,0.00022164280850840595,99393,881,0.00022164280850840595
mexico,Mexico excluding 2018 cross-source lag boundary,detailed,OR per 1-SD increase in prior-year log volume,1.3021107110085053,1.1626626082417402,1.458284021266597,4.930380093402393e-06,142331,944,7.888608149443828e-06
mexico,Mexico excluding 2018 cross-source lag boundary,broad,OR per 1-SD increase in prior-year log volume,1.2999639970689731,1.1588110106349447,1.4583106116238873,7.70221693252448e-06,142331,944,1.0269622576699307e-05
mexico,"Mexico consolidated-source internal lag window, 2016-2017",detailed,OR per 1-SD increase in prior-year log volume,1.4256662506989506,1.2773372977599986,1.5912196895419382,2.501801131275406e-10,42938,706,2.001440905020325e-09
mexico,"Mexico consolidated-source internal lag window, 2016-2017",broad,OR per 1-SD increase in prior-year log volume,1.409727022889419,1.2569377177272896,1.5810889044351548,4.438629876374744e-09,42938,706,1.7754519505498977e-08
