country,variable,records,informative_records,informative_pct,unique_informative_levels,informative_years,total_years,status
brasil,age,754674,754674,100.0,80,9,9,Available and informative
brasil,age_band_common,754674,754674,100.0,5,9,9,Available and informative
brasil,sex,754674,754674,100.0,2,9,9,Available and informative
brasil,dx_main,754674,754674,100.0,11,9,9,Available and informative
brasil,dx_secondary,754674,754674,100.0,1,0,9,Present but non-informative/constant
brasil,trauma_subtype,754674,754674,100.0,11,9,9,Available and informative
brasil,death_in_hospital,754674,754674,100.0,2,9,9,Available and informative
brasil,los_days,754674,754674,100.0,182,9,9,Available and informative
brasil,hospital_id,754674,754674,100.0,3209,9,9,Available and informative
brasil,hospital_region,754674,754674,100.0,27,9,9,Available and informative
brasil,residence_region,754674,754674,100.0,27,9,9,Available and informative
brasil,transfer_proxy,754674,0,0.0,0,0,9,Structurally unavailable
brasil,icu_any,754674,754674,100.0,2,9,9,Available and informative
brasil,icu_days,754674,754674,100.0,112,9,9,Available and informative
brasil,procedure_code_raw,754674,754674,100.0,476,9,9,Available and informative
brasil,external_cause,754674,0,0.0,0,0,9,Structurally unavailable
brasil,insurance_type,754674,0,0.0,0,0,9,Structurally unavailable
brasil,ethnicity,754674,0,0.0,0,0,9,Structurally unavailable
brasil,any_surgical_intervention,754674,0,0.0,0,0,9,Structurally unavailable
brasil,facility_sector,754674,0,0.0,0,0,9,Structurally unavailable
brasil,facility_class,754674,0,0.0,0,0,9,Structurally unavailable
brasil,facility_type,754674,0,0.0,0,0,9,Structurally unavailable
brasil,facility_entity,754674,0,0.0,0,0,9,Structurally unavailable
brasil,residence_area,754674,0,0.0,0,0,9,Structurally unavailable
brasil,discharge_specialty,754674,0,0.0,0,0,9,Structurally unavailable
brasil,bed_total_available,754674,0,0.0,0,0,9,Structurally unavailable
brasil,bed_icu_normal,754674,0,0.0,0,0,9,Structurally unavailable
mexico,age,187744,187744,100.0,98,9,9,Available and informative
mexico,age_band_common,187744,187744,100.0,5,9,9,Available and informative
mexico,sex,187744,187739,99.997,3,9,9,Available and informative
mexico,dx_main,187744,187744,100.0,10,9,9,Available and informative
mexico,dx_secondary,187744,0,0.0,0,0,9,Structurally unavailable
mexico,trauma_subtype,187744,187744,100.0,10,9,9,Available and informative
mexico,death_in_hospital,187744,187700,99.977,2,9,9,Available and informative
mexico,los_days,187744,187744,100.0,200,9,9,Available and informative
mexico,hospital_id,187744,187744,100.0,1178,9,9,Available and informative
mexico,hospital_region,187744,187744,100.0,32,9,9,Available and informative
mexico,residence_region,187744,0,0.0,0,0,9,Structurally unavailable
mexico,transfer_proxy,187744,0,0.0,0,0,9,Structurally unavailable
mexico,icu_any,187744,0,0.0,0,0,9,Structurally unavailable
mexico,icu_days,187744,0,0.0,0,0,9,Structurally unavailable
mexico,procedure_code_raw,187744,0,0.0,0,0,9,Structurally unavailable
mexico,external_cause,187744,64673,34.447,531,3,9,Year-limited availability
mexico,insurance_type,187744,0,0.0,0,0,9,Structurally unavailable
mexico,ethnicity,187744,0,0.0,0,0,9,Structurally unavailable
mexico,any_surgical_intervention,187744,0,0.0,0,0,9,Structurally unavailable
mexico,facility_sector,187744,0,0.0,0,0,9,Structurally unavailable
mexico,facility_class,187744,0,0.0,0,0,9,Structurally unavailable
mexico,facility_type,187744,0,0.0,0,0,9,Structurally unavailable
mexico,facility_entity,187744,0,0.0,0,0,9,Structurally unavailable
mexico,residence_area,187744,0,0.0,0,0,9,Structurally unavailable
mexico,discharge_specialty,187744,0,0.0,0,0,9,Structurally unavailable
mexico,bed_total_available,187744,0,0.0,0,0,9,Structurally unavailable
mexico,bed_icu_normal,187744,0,0.0,0,0,9,Structurally unavailable
chile,age,52259,52259,100.0,22,9,9,Available and informative
chile,age_band_common,52259,52259,100.0,5,9,9,Available and informative
chile,sex,52259,52259,100.0,2,9,9,Available and informative
chile,dx_main,52259,52259,100.0,10,9,9,Available and informative
chile,dx_secondary,52259,52259,100.0,954,9,9,Available and informative
chile,trauma_subtype,52259,52259,100.0,10,9,9,Available and informative
chile,death_in_hospital,52259,52259,100.0,2,9,9,Available and informative
chile,los_days,52259,52259,100.0,326,9,9,Available and informative
chile,hospital_id,52259,0,0.0,0,0,9,Structurally unavailable
chile,hospital_region,52259,0,0.0,0,0,9,Structurally unavailable
chile,residence_region,52259,52259,100.0,18,9,9,Available and informative
chile,transfer_proxy,52259,0,0.0,0,0,9,Structurally unavailable
chile,icu_any,52259,0,0.0,0,0,9,Structurally unavailable
chile,icu_days,52259,0,0.0,0,0,9,Structurally unavailable
chile,procedure_code_raw,52259,17236,32.982,68,3,9,Year-limited availability
chile,external_cause,52259,0,0.0,0,0,9,Structurally unavailable
chile,insurance_type,52259,49831,95.354,6,9,9,Available and informative
chile,ethnicity,52259,47277,90.467,2,8,9,Year-limited availability
chile,any_surgical_intervention,52259,36212,69.293,2,6,9,Year-limited availability
chile,facility_sector,52259,52259,100.0,2,9,9,Available and informative
chile,facility_class,52259,0,0.0,0,0,9,Structurally unavailable
chile,facility_type,52259,0,0.0,0,0,9,Structurally unavailable
chile,facility_entity,52259,0,0.0,0,0,9,Structurally unavailable
chile,residence_area,52259,52259,100.0,339,9,9,Available and informative
chile,discharge_specialty,52259,0,0.0,0,0,9,Structurally unavailable
chile,bed_total_available,52259,0,0.0,0,0,9,Structurally unavailable
chile,bed_icu_normal,52259,0,0.0,0,0,9,Structurally unavailable
equador,age,46753,46753,100.0,89,9,9,Available and informative
equador,age_band_common,46753,46753,100.0,5,9,9,Available and informative
equador,sex,46753,46753,100.0,2,9,9,Available and informative
equador,dx_main,46753,46753,100.0,52,9,9,Available and informative
equador,dx_secondary,46753,0,0.0,0,0,9,Structurally unavailable
equador,trauma_subtype,46753,46753,100.0,11,9,9,Available and informative
equador,death_in_hospital,46753,46753,100.0,2,9,9,Available and informative
equador,los_days,46753,46753,100.0,180,9,9,Available and informative
equador,hospital_id,46753,0,0.0,0,0,9,Structurally unavailable
equador,hospital_region,46753,46753,100.0,48,9,9,Available and informative
equador,residence_region,46753,46753,100.0,51,9,9,Available and informative
equador,transfer_proxy,46753,0,0.0,0,0,9,Structurally unavailable
equador,icu_any,46753,0,0.0,0,0,9,Structurally unavailable
equador,icu_days,46753,0,0.0,0,0,9,Structurally unavailable
equador,procedure_code_raw,46753,0,0.0,0,0,9,Structurally unavailable
equador,external_cause,46753,0,0.0,0,0,9,Structurally unavailable
equador,insurance_type,46753,0,0.0,0,0,9,Structurally unavailable
equador,ethnicity,46753,46753,100.0,28,9,9,Available and informative
equador,any_surgical_intervention,46753,0,0.0,0,0,9,Structurally unavailable
equador,facility_sector,46753,46753,100.0,9,9,9,Available and informative
equador,facility_class,46753,46753,100.0,38,9,9,Available and informative
equador,facility_type,46753,46753,100.0,13,9,9,Available and informative
equador,facility_entity,46753,46753,100.0,34,9,9,Available and informative
equador,residence_area,46753,46753,100.0,6,9,9,Available and informative
equador,discharge_specialty,46753,0,0.0,0,0,9,Structurally unavailable
equador,bed_total_available,46753,0,0.0,0,0,9,Structurally unavailable
equador,bed_icu_normal,46753,0,0.0,0,0,9,Structurally unavailable
