country,age_band,admissions,mortality_pct,los_median
brasil,20-29,149389,7.775003514314976,3.0
brasil,30-49,257280,8.912857587064677,4.0
brasil,50-69,204611,12.056536549843361,4.0
brasil,70-79,78520,14.853540499235862,4.0
brasil,80+,64874,19.433054844776027,4.0
mexico,20-29,46059,7.478989771764859,3.0
mexico,30-49,57492,9.7706948745607,4.0
mexico,50-69,46656,12.98102690534891,4.0
mexico,70-79,20843,14.129391437895949,4.0
mexico,80+,16694,16.498921639108556,4.0
chile,20-29,7549,5.007285733209697,4.0
chile,30-49,13196,5.638072143073659,4.0
chile,50-69,16145,7.847630845462991,5.0
chile,70-79,7694,10.59266961268521,6.0
chile,80+,7675,13.524429967426709,5.0
equador,20-29,12909,5.407080331551631,4.0
equador,30-49,13907,6.1120299129934565,4.0
equador,50-69,9751,8.16326530612245,5.0
equador,70-79,4902,9.1187270501836,5.0
equador,80+,5284,13.039364118092353,5.0
