analysis,model_role,multiplicity_family,term,effect_measure,estimate,ci_low,ci_high,p_value,n,converged,aic,country,fdr_q_value
"Pandemic-period mortality across Brazil, Mexico, Chile, and Ecuador",secondary,pandemic_period,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Pandemic]",Adjusted OR,1.0106525002234825,0.9922280921116616,1.0294190260569942,0.2589833638811564,1041382,True,681940.7118758863,,0.2589833638811564
"Pandemic-period mortality across Brazil, Mexico, Chile, and Ecuador",secondary,pandemic_period,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Recovery]",Adjusted OR,0.9083614722006627,0.8919931476955002,0.9250301600525599,3.7867628058006293e-25,1041382,True,681940.7118758863,,3.0294102446405035e-24
"Pandemic-period mortality across Brazil, Mexico, Chile, and Ecuador",secondary,pandemic_period,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Pandemic]:C(country)[T.chile]",Adjusted OR,1.3277292006933046,1.2230773559134795,1.4413355147574054,1.312539752893391e-11,1041382,True,681940.7118758863,,2.625079505786782e-11
"Pandemic-period mortality across Brazil, Mexico, Chile, and Ecuador",secondary,pandemic_period,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Recovery]:C(country)[T.chile]",Adjusted OR,1.2920146660023204,1.1918684889636002,1.400575577441974,4.849204119577347e-10,1041382,True,681940.7118758863,,7.758726591323754e-10
"Pandemic-period mortality across Brazil, Mexico, Chile, and Ecuador",secondary,pandemic_period,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Pandemic]:C(country)[T.equador]",Adjusted OR,1.2519220173331074,1.1410033192828166,1.373623293636461,2.067203720668523e-06,1041382,True,681940.7118758863,,2.3625185379068835e-06
"Pandemic-period mortality across Brazil, Mexico, Chile, and Ecuador",secondary,pandemic_period,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Recovery]:C(country)[T.equador]",Adjusted OR,1.2800479070985884,1.1740169135239464,1.3956550587923495,2.1870569202814207e-08,1041382,True,681940.7118758863,,2.916075893708561e-08
"Pandemic-period mortality across Brazil, Mexico, Chile, and Ecuador",secondary,pandemic_period,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Pandemic]:C(country)[T.mexico]",Adjusted OR,1.1652935957032504,1.1168455655765146,1.2158432696879258,1.6593635163266105e-12,1041382,True,681940.7118758863,,4.424969376870962e-12
"Pandemic-period mortality across Brazil, Mexico, Chile, and Ecuador",secondary,pandemic_period,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Recovery]:C(country)[T.mexico]",Adjusted OR,1.2085996725939623,1.1614583520203186,1.2576543670751263,1.0250330995593144e-20,1041382,True,681940.7118758863,,4.1001323982372576e-20
Pandemic-period mortality: Brazil,secondary,pandemic_period_by_country,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Pandemic]",Adjusted OR,1.0057236905770643,0.9676495277595041,1.0452959597158404,0.7719279422867811,754674,True,497091.81851931365,brasil,0.7719279422867811
Pandemic-period mortality: Brazil,secondary,pandemic_period_by_country,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Recovery]",Adjusted OR,0.9012180450252134,0.8618475656712508,0.942387026465045,5.027620132606246e-06,754674,True,497091.81851931365,brasil,2.0110480530424983e-05
Pandemic-period mortality: Mexico,secondary,pandemic_period_by_country,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Pandemic]",Adjusted OR,1.1381978856966162,1.0397571218780075,1.2459586953002326,0.005036449853269385,187696,True,126919.18119341187,mexico,0.01007289970653877
Pandemic-period mortality: Mexico,secondary,pandemic_period_by_country,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Recovery]",Adjusted OR,1.0732121041957763,0.9908213556064945,1.1624539722272174,0.08297035066151996,187696,True,126919.18119341187,mexico,0.11062713421535995
Pandemic-period mortality: Chile,secondary,pandemic_period_by_country,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Pandemic]",Adjusted OR,1.237037334132162,1.1412530173452529,1.3408607405888422,2.30101459789185e-07,52259,True,28435.696647540597,chile,1.84081167831348e-06
Pandemic-period mortality: Chile,secondary,pandemic_period_by_country,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Recovery]",Adjusted OR,1.0804638636819475,0.9973076076772008,1.1705537506542074,0.05822714060751627,52259,True,28435.696647540597,chile,0.09316342497202604
Pandemic-period mortality: Ecuador,secondary,pandemic_period_by_country,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Pandemic]",Adjusted OR,1.1650699126184558,1.0627197010617488,1.2772774419563584,0.001127465934314581,46753,True,24016.68729476656,equador,0.0030065758248388826
Pandemic-period mortality: Ecuador,secondary,pandemic_period_by_country,"C(pandemic_period, Treatment(reference='Pre-pandemic'))[T.Recovery]",Adjusted OR,1.0602863417141974,0.9735089407363919,1.1547989744966198,0.1790474626308287,46753,True,24016.68729476656,equador,0.20462567157808995
