analysis,model_role,multiplicity_family,term,effect_measure,estimate,ci_low,ci_high,p_value,n,converged,aic,country,year,fdr_q_value
Adjusted annual mortality event study: Brazil,supplementary,event_study_brasil,"C(year, Treatment(reference='2019'))[T.2015]",Adjusted OR,1.0740080911824863,1.0042434514407694,1.148619269829992,0.03720247364198339,754674,True,497043.78170599975,brasil,2015,0.0459459853981623
Adjusted annual mortality event study: Brazil,supplementary,event_study_brasil,"C(year, Treatment(reference='2019'))[T.2016]",Adjusted OR,1.1120137999616209,1.048696247308385,1.179154301809426,0.00038582687057866317,754674,True,497043.78170599975,brasil,2016,0.0030866149646293054
Adjusted annual mortality event study: Brazil,supplementary,event_study_brasil,"C(year, Treatment(reference='2019'))[T.2017]",Adjusted OR,1.0636180850937937,1.0124556224640309,1.117365942603355,0.014202026695332484,754674,True,497043.78170599975,brasil,2017,0.022723242712531976
Adjusted annual mortality event study: Brazil,supplementary,event_study_brasil,"C(year, Treatment(reference='2019'))[T.2018]",Adjusted OR,1.0457889880036164,1.002003002276079,1.0914883537727074,0.040202737223392015,754674,True,497043.78170599975,brasil,2018,0.0459459853981623
Adjusted annual mortality event study: Brazil,supplementary,event_study_brasil,"C(year, Treatment(reference='2019'))[T.2020]",Adjusted OR,1.0563264671516186,1.0149089960029871,1.099434145917981,0.00725017681324069,754674,True,497043.78170599975,brasil,2020,0.019333804835308506
Adjusted annual mortality event study: Brazil,supplementary,event_study_brasil,"C(year, Treatment(reference='2019'))[T.2021]",Adjusted OR,1.0722109296074558,1.0149085853940567,1.1327485983610213,0.012844645878582046,754674,True,497043.78170599975,brasil,2021,0.022723242712531976
Adjusted annual mortality event study: Brazil,supplementary,event_study_brasil,"C(year, Treatment(reference='2019'))[T.2022]",Adjusted OR,0.9798820468908696,0.9314687674226629,1.0308116164493515,0.43179542045251995,754674,True,497043.78170599975,brasil,2022,0.43179542045251995
Adjusted annual mortality event study: Brazil,supplementary,event_study_brasil,"C(year, Treatment(reference='2019'))[T.2023]",Adjusted OR,0.9291697594351735,0.8820628152237273,0.9787924702730334,0.005649320443940505,754674,True,497043.78170599975,brasil,2023,0.019333804835308506
Adjusted annual mortality event study: Mexico,supplementary,event_study_mexico,"C(year, Treatment(reference='2019'))[T.2015]",Adjusted OR,1.1155328630704886,0.9736080256024786,1.2781463749954047,0.11531883029956543,187696,True,126890.49170836335,mexico,2015,0.13179294891378907
Adjusted annual mortality event study: Mexico,supplementary,event_study_mexico,"C(year, Treatment(reference='2019'))[T.2016]",Adjusted OR,1.127757752664135,0.9886598329405312,1.286425832544734,0.07342933121220996,187696,True,126890.49170836335,mexico,2016,0.11748692993953594
Adjusted annual mortality event study: Mexico,supplementary,event_study_mexico,"C(year, Treatment(reference='2019'))[T.2017]",Adjusted OR,1.1254570757887339,0.9771709563783978,1.296245678583627,0.10108952700782947,187696,True,126890.49170836335,mexico,2017,0.13179294891378907
Adjusted annual mortality event study: Mexico,supplementary,event_study_mexico,"C(year, Treatment(reference='2019'))[T.2018]",Adjusted OR,0.9837264511679097,0.8822922738044157,1.0968221749858946,0.7676097626154206,187696,True,126890.49170836335,mexico,2018,0.7676097626154206
Adjusted annual mortality event study: Mexico,supplementary,event_study_mexico,"C(year, Treatment(reference='2019'))[T.2020]",Adjusted OR,1.191292928559278,1.090439663585006,1.3014739733233371,0.00010517441517587192,187696,True,126890.49170836335,mexico,2020,0.0008413953214069754
Adjusted annual mortality event study: Mexico,supplementary,event_study_mexico,"C(year, Treatment(reference='2019'))[T.2021]",Adjusted OR,1.2397366687528188,1.0993533337490686,1.3980464339057987,0.0004569730993439621,187696,True,126890.49170836335,mexico,2021,0.0018278923973758484
Adjusted annual mortality event study: Mexico,supplementary,event_study_mexico,"C(year, Treatment(reference='2019'))[T.2022]",Adjusted OR,1.1734880693840455,1.0496491146117708,1.3119377035782354,0.00493047201142932,187696,True,126890.49170836335,mexico,2022,0.01314792536381152
Adjusted annual mortality event study: Mexico,supplementary,event_study_mexico,"C(year, Treatment(reference='2019'))[T.2023]",Adjusted OR,1.1227796592477295,1.0049190881392742,1.2544633474468672,0.04068884316767034,187696,True,126890.49170836335,mexico,2023,0.08137768633534068
