analysis,model_role,multiplicity_family,term,effect_measure,estimate,ci_low,ci_high,p_value,n,converged,aic,country,fdr_q_value
Pooled individual-level factors across four countries,pooled secondary,individual_factors,"C(age_band_common, Treatment(reference='20-29'))[T.30-49]",Adjusted OR,1.1883020656058476,1.164670731110334,1.212412883233479,1.3767140611816353e-63,1041382,True,681871.9622485606,,1.4684949985937444e-63
Pooled individual-level factors across four countries,pooled secondary,individual_factors,"C(age_band_common, Treatment(reference='20-29'))[T.50-69]",Adjusted OR,1.6588107480481658,1.6255634609574896,1.6927380344901062,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,"C(age_band_common, Treatment(reference='20-29'))[T.70-79]",Adjusted OR,2.1156397445909976,2.0644124401807207,2.168138227505176,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,"C(age_band_common, Treatment(reference='20-29'))[T.80+]",Adjusted OR,3.016109627212104,2.9428157069824143,3.091229009610523,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(sex)[T.Male],Adjusted OR,1.3354193049570722,1.3142199760160207,1.3569605945711862,6.455472900871545e-275,1041382,True,681871.9622485606,,7.945197416457286e-275
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(sex)[T.Other/unknown],Adjusted OR,2.7342389719990265,0.8818713322847211,8.47749834052273,0.08146909990345655,1041382,True,681871.9622485606,,0.08146909990345655
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.DIFFUSE_BRAIN_INJURY],Adjusted OR,6.729166411336873,6.348138166153271,7.1330647516299,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.EPIDURAL_HEMORRHAGE],Adjusted OR,5.186540606598688,4.860696488823297,5.534228176096061,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.FOCAL_BRAIN_INJURY],Adjusted OR,6.660529893889796,6.2498768604603425,7.098165205151265,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.INTRACRANIAL_INJURY_WITH_PROLONGED_COMA],Adjusted OR,20.87162184037008,18.849008515135225,23.111273884651226,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.OTHER_INTRACRANIAL_INJURY],Adjusted OR,3.5157593819235236,3.3234198913832698,3.719230321642739,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.OTHER_OR_UNSPECIFIED],Adjusted OR,3.9315129544313088,3.487052485284386,4.432624451765493,8.366387809791892e-111,1041382,True,681871.9622485606,,9.561586068333591e-111
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.SUBDURAL_HEMORRHAGE],Adjusted OR,6.037319626955595,5.701109246357645,6.393357275395156,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.TRAUMATIC_CEREBRAL_EDEMA],Adjusted OR,7.580182893825972,7.116858886169414,8.073670368189466,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.TRAUMATIC_SUBARACHNOID_HEMORRHAGE],Adjusted OR,8.44602236392148,7.919674538924606,9.007351681089188,0.0,1041382,True,681871.9622485606,,0.0
Pooled individual-level factors across four countries,pooled secondary,individual_factors,C(trauma_subtype)[T.UNSPECIFIED_INTRACRANIAL_INJURY],Adjusted OR,8.177799472254371,7.715010712795263,8.668348845905042,0.0,1041382,True,681871.9622485606,,0.0
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.30-49]",Adjusted OR,1.1472833028267833,1.107366683700938,1.188638773695136,2.858504314456408e-14,754674,True,497043.78170599975,brasil,4.960345722144943e-14
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.50-69]",Adjusted OR,1.5850095652387786,1.5025903865957608,1.6719495507955022,4.1130970959715225e-64,754674,True,497043.78170599975,brasil,1.5167045541394988e-63
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.70-79]",Adjusted OR,2.040338787156875,1.926658724990059,2.1607263976645723,2.7755100721193884e-131,754674,True,497043.78170599975,brasil,5.458503141834797e-130
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.80+]",Adjusted OR,2.99701425112948,2.806220365250072,3.2007801428213107,1.3138994328579643e-234,754674,True,497043.78170599975,brasil,7.752006653861989e-233
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(sex)[T.Male],Adjusted OR,1.308992676310505,1.2751901701725568,1.3436912130546583,1.746144486137809e-90,754674,True,497043.78170599975,brasil,1.2877815585266342e-89
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.DIFFUSE_BRAIN_INJURY],Adjusted OR,6.960407658214879,5.6359218149960055,8.596158065860374,1.4557525045847656e-72,754674,True,497043.78170599975,brasil,6.134956983607226e-72
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.EPIDURAL_HEMORRHAGE],Adjusted OR,5.594824724896045,4.730630108299758,6.616890981898905,5.599276302629745e-90,754674,True,497043.78170599975,brasil,3.670636687279499e-89
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.FOCAL_BRAIN_INJURY],Adjusted OR,7.152565013166251,5.854184987602332,8.738908383645548,1.3949830838024116e-82,754674,True,497043.78170599975,brasil,6.85866682869519e-82
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.INTRACRANIAL_INJURY_WITH_PROLONGED_COMA],Adjusted OR,19.149449654950637,15.20607017082442,24.11546296761616,5.661701124253456e-139,754674,True,497043.78170599975,brasil,1.6702018316547695e-137
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.OTHER_INTRACRANIAL_INJURY],Adjusted OR,3.4807765857567623,2.950053643958134,4.106978076404243,2.0640494179937995e-49,754674,True,497043.78170599975,brasil,7.163465627154952e-49
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.OTHER_OR_UNSPECIFIED],Adjusted OR,4.1823011568244715,3.209433263791815,5.4500721867977555,3.242859440541823e-26,754674,True,497043.78170599975,brasil,8.318639434433371e-26
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.SUBDURAL_HEMORRHAGE],Adjusted OR,6.581419508961978,5.5631898257356545,7.786015597125071,5.311758084712074e-107,754674,True,497043.78170599975,brasil,7.83484317495031e-106
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.TRAUMATIC_CEREBRAL_EDEMA],Adjusted OR,6.451386716971025,4.915933071281781,8.466427424541415,3.390723297552313e-41,754674,True,497043.78170599975,brasil,1.111403747531036e-40
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.TRAUMATIC_SUBARACHNOID_HEMORRHAGE],Adjusted OR,7.453234224753641,6.186817062052098,8.978882008612917,3.398215594671125e-99,754674,True,497043.78170599975,brasil,2.8642102869370912e-98
Country-specific individual factors: Brazil,country-specific,individual_factors_by_country,C(trauma_subtype)[T.UNSPECIFIED_INTRACRANIAL_INJURY],Adjusted OR,12.167637965069552,9.713106793556031,15.24243651343602,9.087220393432414e-105,754674,True,497043.78170599975,brasil,1.0722920064250248e-103
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.30-49]",Adjusted OR,1.364825716033659,1.2948501865042008,1.4385828218288221,5.0616075744959555e-31,187696,True,126890.49170836333,mexico,1.357431122251188e-30
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.50-69]",Adjusted OR,1.991338015919622,1.8587072388267127,2.133432856349032,2.0010327078438145e-85,187696,True,126890.49170836333,mexico,1.0732811796616822e-84
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.70-79]",Adjusted OR,2.406455283549569,2.2061523326398227,2.624944318688206,2.6949104120205514e-87,187696,True,126890.49170836333,mexico,1.5899971430921254e-86
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.80+]",Adjusted OR,3.0269495355421716,2.7322446742752895,3.353441797136724,1.1242372200621522e-99,187696,True,126890.49170836333,mexico,1.1054999330611162e-98
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(sex)[T.Male],Adjusted OR,1.3673691104874943,1.2998453639257666,1.4384005484071862,9.438171499069829e-34,187696,True,126890.49170836333,mexico,2.930800623395368e-33
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(sex)[T.Other/unknown],Adjusted OR,3.0881435951076894,0.7324511000854464,13.020160476094743,0.12457210385029305,187696,True,126890.49170836333,mexico,0.12894305486258403
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(trauma_subtype)[T.DIFFUSE_BRAIN_INJURY],Adjusted OR,3.1427756295433853,1.6718782646426984,5.907749904125149,0.00037661891098955555,187696,True,126890.49170836333,mexico,0.00046292741142466205
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(trauma_subtype)[T.EPIDURAL_HEMORRHAGE],Adjusted OR,1.790015171684633,1.0617992461975183,3.0176648988363683,0.028888586434011394,187696,True,126890.49170836333,mexico,0.03156345554827171
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(trauma_subtype)[T.FOCAL_BRAIN_INJURY],Adjusted OR,2.789325493164974,1.3545530566414503,5.743840500505015,0.005379193406367688,187696,True,126890.49170836333,mexico,0.006347448219513872
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(trauma_subtype)[T.INTRACRANIAL_INJURY_WITH_PROLONGED_COMA],Adjusted OR,14.86156723636197,7.465499814908307,29.58491543725533,1.556352133685424e-14,187696,True,126890.49170836333,mexico,2.7825689662860608e-14
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(trauma_subtype)[T.OTHER_INTRACRANIAL_INJURY],Adjusted OR,3.222666034833704,1.6971059824152983,6.119580320664582,0.0003481977228652582,187696,True,126890.49170836333,mexico,0.00043709926912872846
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(trauma_subtype)[T.SUBDURAL_HEMORRHAGE],Adjusted OR,1.7923309855304734,1.0646963086577015,3.0172457024319757,0.028100830731117122,187696,True,126890.49170836333,mexico,0.03128205685162095
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(trauma_subtype)[T.TRAUMATIC_CEREBRAL_EDEMA],Adjusted OR,9.147121964140446,5.462693646824229,15.316590245821773,3.9061492623676765e-17,187696,True,126890.49170836333,mexico,7.682093549323097e-17
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(trauma_subtype)[T.TRAUMATIC_SUBARACHNOID_HEMORRHAGE],Adjusted OR,4.398385877128459,2.5063359778879315,7.718756980229615,2.4436590630848483e-07,187696,True,126890.49170836333,mexico,3.696817556974514e-07
Country-specific individual factors: Mexico,country-specific,individual_factors_by_country,C(trauma_subtype)[T.UNSPECIFIED_INTRACRANIAL_INJURY],Adjusted OR,2.535048563097867,1.5511026491753839,4.1431630722061366,0.00020616506866341725,187696,True,126890.49170836333,mexico,0.0002644291098074265
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.30-49]",Adjusted OR,1.131768220176971,0.9964104603271604,1.285513706652557,0.056827915906914814,52259,True,28432.966240295857,chile,0.059872268544785244
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.50-69]",Adjusted OR,1.583572800471937,1.4045786750853149,1.7853772514681057,5.850020497610678e-14,52259,True,28432.966240295857,chile,9.861463124543715e-14
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.70-79]",Adjusted OR,2.240291669134875,1.963660263750005,2.5558936316257226,3.764646309464561e-33,52259,True,28432.966240295857,chile,1.1105706612920456e-32
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.80+]",Adjusted OR,3.193263868477847,2.8037887647671886,3.63684107086177,1.5651062989953609e-68,52259,True,28432.966240295857,chile,6.15608477604842e-68
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(sex)[T.Male],Adjusted OR,1.5817331040300846,1.466572456391406,1.7059365880501252,1.3591018669439977e-32,52259,True,28432.966240295857,chile,3.818429054747422e-32
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(trauma_subtype)[T.DIFFUSE_BRAIN_INJURY],Adjusted OR,2.043124467649658,1.4646270330618743,2.850116443352817,2.5902050664314985e-05,52259,True,28432.966240295857,chile,3.396046642654631e-05
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(trauma_subtype)[T.EPIDURAL_HEMORRHAGE],Adjusted OR,1.0568576141007795,0.7099086027196828,1.5733687578988733,0.7853282993045492,52259,True,28432.966240295857,chile,0.7853282993045492
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(trauma_subtype)[T.FOCAL_BRAIN_INJURY],Adjusted OR,1.2010154963277964,0.8309533927822578,1.7358834261327554,0.32974706768216266,52259,True,28432.966240295857,chile,0.3354323619525448
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(trauma_subtype)[T.INTRACRANIAL_INJURY_WITH_PROLONGED_COMA],Adjusted OR,11.886733663213606,7.392967631271593,19.112005385024645,1.673151722813204e-24,52259,True,28432.966240295857,chile,4.113164651915793e-24
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(trauma_subtype)[T.OTHER_INTRACRANIAL_INJURY],Adjusted OR,2.646743865683183,1.921929165877047,3.6449070105738293,2.498952466014308e-09,52259,True,28432.966240295857,chile,3.984816094455248e-09
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(trauma_subtype)[T.SUBDURAL_HEMORRHAGE],Adjusted OR,2.089935186436144,1.5341172362140736,2.847128615986937,2.9699185111598026e-06,52259,True,28432.966240295857,chile,4.075004468800659e-06
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(trauma_subtype)[T.TRAUMATIC_CEREBRAL_EDEMA],Adjusted OR,5.577907300517064,3.494469854906076,8.903510731243042,5.847869403792334e-13,52259,True,28432.966240295857,chile,9.584008189548547e-13
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(trauma_subtype)[T.TRAUMATIC_SUBARACHNOID_HEMORRHAGE],Adjusted OR,2.197034205463288,1.6046059302551643,3.008189867033657,9.132214639519147e-07,52259,True,28432.966240295857,chile,1.3141479603210479e-06
Country-specific individual factors: Chile,country-specific,individual_factors_by_country,C(trauma_subtype)[T.UNSPECIFIED_INTRACRANIAL_INJURY],Adjusted OR,1.4989792313644148,1.10420062749347,2.0349007962098264,0.009443971389448729,52259,True,28432.966240295857,chile,0.010715275230336059
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.30-49]",Adjusted OR,1.1494659174666522,1.036242942225156,1.275059970570458,0.008466588238383935,46753,True,24017.768284641963,equador,0.00979468051107161
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.50-69]",Adjusted OR,1.6245847379409482,1.4587510454390753,1.8092707312893495,1.0179060707838873e-18,46753,True,24017.768284641963,equador,2.224313265787013e-18
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.70-79]",Adjusted OR,1.9746080127184156,1.7292461902270113,2.2547840937442856,9.170522794808839e-24,46753,True,24017.768284641963,equador,2.0810032495912364e-23
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,"C(age_band_common, Treatment(reference='20-29'))[T.80+]",Adjusted OR,3.0585260731329087,2.7109600216503718,3.450652781791651,9.980634447288748e-74,46753,True,24017.768284641963,equador,4.5296725568464316e-73
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(sex)[T.Male],Adjusted OR,1.22861595866681,1.1282815259787735,1.3378728084564622,2.1720277524716733e-06,46753,True,24017.768284641963,equador,3.051181842757827e-06
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.DIFFUSE_BRAIN_INJURY],Adjusted OR,7.293521323412329,4.653779597306544,11.430591454279039,4.412321427167852e-18,46753,True,24017.768284641963,equador,9.297391578675116e-18
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.EPIDURAL_HEMORRHAGE],Adjusted OR,2.858087887456633,1.8240478489534253,4.4783180315764275,4.580558084679003e-06,46753,True,24017.768284641963,equador,6.142111977183208e-06
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.FOCAL_BRAIN_INJURY],Adjusted OR,2.4021929672651594,1.4253825813199994,4.048408565954478,0.0009985448847172138,46753,True,24017.768284641963,equador,0.0012023295550676657
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.INTRACRANIAL_INJURY_WITH_PROLONGED_COMA],Adjusted OR,9.100481414077416,5.470752408625753,15.138459170147765,1.8174137388710796e-17,46753,True,24017.768284641963,equador,3.6974969170135755e-17
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.OTHER_INTRACRANIAL_INJURY],Adjusted OR,6.243942387623174,3.9864191735178127,9.779908946593162,1.2409102443615755e-15,46753,True,24017.768284641963,equador,2.2879282630416548e-15
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.OTHER_OR_UNSPECIFIED],Adjusted OR,10.987121054488185,1.0728850869554798,112.51608446579785,0.04346281433197929,46753,True,24017.768284641963,equador,0.04662374628339597
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.SUBDURAL_HEMORRHAGE],Adjusted OR,2.955742211857646,1.9191866414497543,4.55214299342853,8.714330582920799e-07,46753,True,24017.768284641963,equador,1.2853637609808178e-06
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.TRAUMATIC_CEREBRAL_EDEMA],Adjusted OR,10.81262376185957,6.800596995325283,17.191554314407373,8.075110164729099e-24,46753,True,24017.768284641963,equador,1.9057259988760676e-23
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.TRAUMATIC_SUBARACHNOID_HEMORRHAGE],Adjusted OR,6.506004482131441,4.172893956263905,10.14358255089995,1.4006944954386172e-16,46753,True,24017.768284641963,equador,2.665837910673497e-16
Country-specific individual factors: Ecuador,country-specific,individual_factors_by_country,C(trauma_subtype)[T.UNSPECIFIED_INTRACRANIAL_INJURY],Adjusted OR,3.3658866071296996,2.2002121009285744,5.149136597909685,2.2018448049170878e-08,46753,True,24017.768284641963,equador,3.418653776055478e-08
