analysis,model_role,multiplicity_family,term,effect_measure,estimate,ci_low,ci_high,p_value,n,converged,aic,fdr_q_value
Primary mortality: prior-year hospital TBI volume,primary,primary_volume,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.2414555641021134,1.1794424818530334,1.306729188878023,1.3107515991013667e-16,828784,True,551624.1280752573,3.9322547973041005e-16
Primary heterogeneity: prior-year volume by country interaction,primary interaction,primary_volume,lag_volume_z_country_year,OR,1.2246412065067265,1.1615310938839563,1.2911803158530717,6.053483160034379e-14,828784,True,551587.5544361017,9.080224740051568e-14
Primary heterogeneity: prior-year volume by country interaction,primary interaction,primary_volume,lag_volume_z_country_year:C(country)[T.mexico],OR,1.0543633331492268,0.9255246394885951,1.2011371614091384,0.4259836631782855,828784,True,551587.5544361017,0.42598366317828545
Sensitivity mortality: same-year hospital TBI volume,sensitivity,volume_sensitivity,volume_z_country_year,OR per 1-SD increase in same-year log volume,1.2513259296962331,1.1873397458857347,1.3187603529283611,5.666625338902153e-17,942370,True,623539.6121417118,1.7540637437246456e-16
Sensitivity mortality: structural intracranial injury subset,severity sensitivity,volume_sensitivity,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.2438081777379417,1.1815485392485994,1.3093484792352452,8.273351178935444e-17,779311,True,539436.3417092195,1.7540637437246456e-16
Country-specific prior-year volume: Brazil,country-specific,country_volume,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.2210757551429523,1.1591794037301963,1.286277167278736,5.257857106468306e-14,665466,True,438230.78302304127,1.0515714212936612e-13
Sensitivity excluding hospital-years with <5 admissions: Brazil,low-volume sensitivity,volume_sensitivity,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.206741902511427,1.1432377747163789,1.2737735329277124,9.539086267925189e-12,656381,True,435383.4573556809,1.4308629401887784e-11
Post-admission severity sensitivity: Brazil with ICU/surgery indicators,post-treatment sensitivity,volume_sensitivity,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.2820209682741115,1.190617972696745,1.380440914537678,4.6038625616779616e-11,665466,True,416054.891104518,5.5246350740135534e-11
Country-specific prior-year volume: Mexico,country-specific,country_volume,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.3067013126158193,1.1691203896389852,1.4604726215742054,2.445191733542787e-06,163318,True,109540.27759011147,2.445191733542787e-06
Sensitivity excluding hospital-years with <5 admissions: Mexico,low-volume sensitivity,volume_sensitivity,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.3065825916188734,1.1632122124427082,1.4676239214652973,6.501747937253355e-06,160131,True,108005.79812041236,6.501747937253355e-06
Sensitivity mortality: age >=18 in Brazil and Mexico,age sensitivity,volume_sensitivity,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.2442800270576329,1.1818407574822036,1.310018101789705,8.770318718623228e-17,863960,True,569456.1442825173,1.7540637437246456e-16
Survivor length of stay: Gamma log-link model,primary LOS model,los_models,lag_volume_z_country_year,Adjusted mean ratio,1.1110151841795322,1.0666796574535031,1.1571934749597355,4.047739470735601e-07,703732,True,4318164.872106692,5.22335314607373e-07
Survivor length of stay: negative-binomial sensitivity,LOS sensitivity,los_models,lag_volume_z_country_year,Adjusted mean ratio,1.1105204474333452,1.0659681117288968,1.1569348563038497,5.22335314607373e-07,703732,True,4203818.49569793,5.22335314607373e-07
