country,previous_year,year,current_hospitals,previous_hospitals,continuing_hospitals,new_hospital_ids,exited_hospital_ids,previous_year_retention_pct,current_hospitals_with_prior_year_pct,source_boundary_flag
brasil,,2015,1878,,0,1878,0,,,False
brasil,2015.0,2016,1855,1878.0,1549,306,329,82.48136315228966,83.50404312668464,False
brasil,2016.0,2017,1912,1855.0,1567,345,288,84.4743935309973,81.9560669456067,False
brasil,2017.0,2018,1855,1912.0,1576,279,336,82.42677824267783,84.95956873315363,False
brasil,2018.0,2019,1875,1855.0,1546,329,309,83.34231805929919,82.45333333333333,False
brasil,2019.0,2020,1928,1875.0,1570,358,305,83.73333333333333,81.43153526970954,False
brasil,2020.0,2021,1994,1928.0,1610,384,318,83.50622406639005,80.74222668004012,False
brasil,2021.0,2022,2086,1994.0,1694,392,300,84.95486459378134,81.20805369127517,False
brasil,2022.0,2023,2114,2086.0,1769,345,317,84.80345158197508,83.6802270577105,False
mexico,,2015,757,,0,757,0,,,False
mexico,2015.0,2016,756,757.0,662,94,95,87.45046235138706,87.56613756613757,False
mexico,2016.0,2017,703,756.0,627,76,129,82.93650793650794,89.1891891891892,False
mexico,2017.0,2018,761,703.0,618,143,85,87.90896159317212,81.2089356110381,True
mexico,2018.0,2019,789,761.0,679,110,82,89.22470433639947,86.05830164765526,False
mexico,2019.0,2020,780,789.0,688,92,101,87.19898605830166,88.2051282051282,False
mexico,2020.0,2021,807,780.0,685,122,95,87.82051282051282,84.88228004956629,False
mexico,2021.0,2022,822,807.0,704,118,103,87.2366790582404,85.64476885644768,False
mexico,2022.0,2023,867,822.0,731,136,91,88.9294403892944,84.31372549019608,False
